,Total Population,% age 21+,% age 65+,% Race - White,% Race - Black,% Race - American Native,% Race  - Asian,% Race - Pacific Islander,% Race - Other,% Race - Hispanic/Latino,% Male,2021 Median Income,City,State,Region
31093,7754,69.9,14.7,96.7,1.9,1.6,1.6,0.0,3.5,3.3,0.4856848078411143,,mount horeb village,wisconsin,midwest
31094,27732,77.9,24.1,85.3,9.8,2.0,3.1,0.1,8.4,10.6,0.4804918505697389,,mount pleasant village,wisconsin,midwest
31095,189,75.1,24.3,98.4,0.0,0.5,1.1,0.0,1.1,0.5,0.5132275132275133,,mount sterling village,wisconsin,midwest
31096,8262,72.0,17.5,96.8,1.0,1.6,1.8,0.1,3.9,4.3,0.4916485112563544,,mukwonago village,wisconsin,midwest
31097,1307,74.6,21.3,98.6,1.0,2.4,0.4,0.1,1.5,2.4,0.5080336648814078,,muscoda village,wisconsin,midwest
31098,25032,74.5,20.3,97.4,0.9,1.5,1.9,0.1,3.4,3.5,0.48965324384787473,,muskego,wisconsin,midwest
31099,1321,73.8,19.1,97.2,1.2,1.6,3.2,0.2,2.0,2.3,0.48902346707040123,,nashotah village,wisconsin,midwest
31100,177,67.2,16.4,97.2,0.6,3.4,2.3,0.0,0.0,0.0,0.5254237288135594,,navarino,wisconsin,midwest
31101,924,72.0,16.5,98.9,1.7,2.4,0.8,0.0,1.3,1.8,0.4805194805194805,,necedah village,wisconsin,midwest
31102,27319,72.7,16.4,93.6,3.1,2.2,3.0,0.2,3.9,4.8,0.49192869431531167,,neenah,wisconsin,midwest
31103,2384,75.8,23.8,96.3,1.8,0.8,0.6,0.0,3.0,3.1,0.4584731543624161,,neillsville,wisconsin,midwest
31104,2449,73.1,19.6,94.5,1.8,3.9,0.7,0.1,3.9,4.7,0.4867292772560229,,nekoosa,wisconsin,midwest
31105,322,78.0,24.8,98.4,0.9,0.6,0.9,0.6,2.8,0.9,0.515527950310559,,nelson village,wisconsin,midwest
31106,158,69.0,19.0,100.0,0.6,0.6,0.6,0.0,0.6,1.3,0.5126582278481012,,nelsonville village,wisconsin,midwest
31107,616,64.4,12.3,2.9,0.3,97.9,0.0,0.0,0.3,1.0,0.4577922077922078,,neopit,wisconsin,midwest
31108,591,75.1,17.1,98.3,0.8,1.2,2.0,0.5,4.2,4.1,0.5160744500846024,,neosho village,wisconsin,midwest
31109,412,79.4,25.0,99.0,1.7,1.9,0.0,0.0,1.0,0.5,0.4854368932038835,,neshkoro village,wisconsin,midwest
31110,70,81.4,30.0,100.0,1.4,7.1,0.0,0.0,0.0,1.4,0.5428571428571428,,newald,wisconsin,midwest
31111,562,71.2,13.3,98.0,1.4,2.5,0.9,0.4,4.4,2.0,0.5124555160142349,,new auburn village,wisconsin,midwest
31112,40451,77.5,22.7,92.5,1.9,1.3,5.6,0.1,3.8,4.5,0.48473461719116956,,new berlin,wisconsin,midwest
31113,1142,75.1,16.0,97.8,0.7,2.2,0.5,0.3,1.9,2.8,0.5131348511383538,,newburg village,wisconsin,midwest
31114,2266,72.9,21.8,98.0,1.4,1.4,1.0,0.2,2.4,2.9,0.48102383053839365,,new glarus village,wisconsin,midwest
31115,3195,76.9,22.7,96.7,1.1,1.8,0.7,0.3,3.7,3.2,0.5048513302034429,,new holstein,wisconsin,midwest
31116,1748,75.9,17.5,93.5,4.8,2.0,1.2,0.1,3.5,2.5,0.5509153318077803,,new lisbon,wisconsin,midwest
31117,7348,73.1,17.8,92.9,1.5,2.2,1.2,0.0,7.2,8.6,0.4825802939575395,,new london,wisconsin,midwest
31118,286,76.2,27.3,99.0,0.3,0.0,1.0,0.0,2.4,2.4,0.5594405594405595,,new munster,wisconsin,midwest
